text,target,has_number,has_rating_number,bert_text,final_text_enriched,text_length,n_tokens,sentiment
surprisingly nothing could be further from the truth .,0.0,False,False,surprisingly nothing could be further from the truth .,surprisingly nothing could far truth,36,5,0.0613
the food was well prepared and the service impecable .,1.0,False,False,the food was well prepared and the service impecable .,food well_prepared service impecable,36,4,0.4588
i ' m going back .,1.0,False,False,i ' m going back .,I go_back,9,2,0.0
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,1.0,False,False,quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,quite simply like step manhattan tranquility,44,6,0.6786
i will be going back and heartily recommend it !,1.0,False,False,i will be going back and heartily recommend it !,I go_back recommend !,30,4,0.4199
"it is terrific , as is the value .",1.0,False,False,"it is terrific , as is the value .",terrific value,14,2,0.6705
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",1.0,True,False,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",much tasty food fresh continually refill,40,6,0.3182
"i am not a vegetarian but , almost all the dishes were great .",1.0,False,False,"i am not a vegetarian but , almost all the dishes were great .",I vegetarian almost dish great,30,5,0.5888
go hungry and enjoy .,1.0,False,False,go hungry and enjoy .,go hungry enjoy,15,3,0.4939
"the kitchen however , is almost always slow .",0.0,False,False,"the kitchen however , is almost always slow .",kitchen however almost always slow,34,5,0.0
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,1.0,False,False,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,add great_great_service_food reasonable_price beginning great evening,69,6,0.9231
the lava cake dessert was incredible and i recommend it .,1.0,False,False,the lava cake dessert was incredible and i recommend it .,lava cake dessert incredible I recommend,40,6,0.3612
"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .",1.0,False,False,"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .",step cosette miraculously small beat path parisian bistro,57,8,0.0
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",1.0,False,False,"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",tiny restaurant cozy get certain parisian flair,47,7,0.2732
"however , go for the ambience , and consider the food just a companion for a trip across the world !",1.0,False,False,"however , go for the ambience , and consider the food just a companion for a trip across the world !",however go ambience consider food companion trip across world !,63,10,0.0
the pizza was delivered cold and the cheese was n ' t even fully melted !,0.0,False,False,the pizza was delivered cold and the cheese was n ' t even fully melted !,pizza deliver cold cheese n even fully melt !,45,9,0.0
it looked like shredded cheese partly done - still in strips .,0.0,False,False,it looked like shredded cheese partly done - still in strips .,look like shred_cheese partly still strip,41,6,0.3612
this has got to be one of the most overrated restaurants in brooklyn .,0.0,False,False,this has got to be one of the most overrated restaurants in brooklyn .,get one overrated restaurant brooklyn,37,5,0.0
the pizza is overpriced and soggy .,0.0,False,False,the pizza is overpriced and soggy .,pizza overprice soggy,21,3,0.0
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .",0.0,False,False,"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .",yes use fancy ingredient even fancy ingredient n make good pizza unless someone know get crust right,100,17,0.6808
"a big disappointment , all around .",0.0,False,False,"a big disappointment , all around .",big_disappointment around,25,2,-0.5106
i think i ' ve had some the best meals of my life at minnow .,1.0,False,False,i think i ' ve had some the best meals of my life at minnow .,I think I good_meal life minnow,31,6,0.4404
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",1.0,False,False,"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",seafood amazing good_wine_list ever change menu always offer great surprise,75,10,0.9169
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,1.0,False,False,the combination of super - fresh ingredients in the dishes are unusual but really delicious .,combination super fresh ingredient dish unusual really delicious,64,8,0.8805
worth the trip from manhattan .,1.0,False,False,worth the trip from manhattan .,worth trip manhattan,20,3,0.2263
best pastrami i ever had and great portion without being ridiculous .,1.0,False,False,best pastrami i ever had and great portion without being ridiculous .,good pastrami I ever great portion without ridiculous,53,8,0.8446
my wife had the fried shrimp which are huge and loved it .,1.0,False,False,my wife had the fried shrimp which are huge and loved it .,wife fried shrimp huge love,27,5,0.7579
"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",1.0,True,False,"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",japanese native I live tristate area year I amazed place,56,10,0.4939
this place is the most japanese it can ever get .,1.0,False,False,this place is the most japanese it can ever get .,place japanese ever get,23,4,0.0
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",1.0,False,False,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",sign special menu food even waitstaff totally japanese,54,8,0.4019
this place is worth an one - hour drive .,1.0,False,False,this place is worth an one - hour drive .,place worth one_hour drive,26,4,0.2263
"i am so coming back here again , as much as i can .",1.0,False,False,"i am so coming back here again , as much as i can .",I come_back much I,18,4,0.0
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",1.0,False,False,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",leon east village gem casual hip well_prepared basic french bistro fare good special warm lively atmosphere,107,16,0.9217
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",1.0,False,False,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",wife I always enjoy young always well train nevertheless friendly staff story,77,12,0.8176
decent wine at reasonable prices .,1.0,False,False,decent wine at reasonable prices .,decent wine reasonable_price,28,3,0.0
"our teenage kids love it , too .",1.0,False,False,"our teenage kids love it , too .",teenage kid love,16,3,0.6369
"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .",1.0,False,False,"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .",everytime I decide try another place ue I get angry I n go zucchero pomodori,76,15,-0.5106
this is by far my favorite place in the neighborhood .,1.0,False,False,this is by far my favorite place in the neighborhood .,far favorite place neighborhood,31,4,0.4588
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",1.0,False,False,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",great_service decor great great_food come large_portion,63,6,0.91
i ' m partial to the gnocchi .,1.0,False,False,i ' m partial to the gnocchi .,I partial gnocchi,17,3,0.0
they refuse to seat parties of 3 or more on weekends .,0.0,True,False,they refuse to seat parties of 3 or more on weekends .,refuse seat party weekend,25,4,0.128
the hostess is rude to the point of being offensive .,0.0,False,False,the hostess is rude to the point of being offensive .,hostess rude point offensive,28,4,-0.7184
the food was bland oily .,0.0,False,False,the food was bland oily .,food bland_oily,15,2,0.0
i just do n ' t understand all the hype . . .,0.0,False,False,i just do n ' t understand all the hype . . .,I n understand hype,19,4,0.0
"we have been to this place many times , and always have great food , wine , and service .",1.0,False,False,"we have been to this place many times , and always have great food , wine , and service .",place many time always great_food wine service,46,7,0.6249
"we were worried we would have trouble getting in , but somehow managed to have a short wait .",1.0,False,False,"we were worried we would have trouble getting in , but somehow managed to have a short wait .",worried would trouble get somehow manage short wait,51,8,-0.5994
as always we had a great glass of wine while we waited .,1.0,False,False,as always we had a great glass of wine while we waited .,always great glass wine wait,28,5,0.6249
"when we sat , we got great and fast service .",1.0,False,False,"when we sat , we got great and fast service .",sit get great fast service,26,5,0.6249
the people that work there are always so friendly you forget you are in new york sometimes .,1.0,False,False,the people that work there are always so friendly you forget you are in new york sometimes .,people work always friendly forget new_york sometimes,53,7,0.3182
this is a fun restaurant to go to .,1.0,False,False,this is a fun restaurant to go to .,fun restaurant go,17,3,0.5106
the pizza is yummy and i like the atmoshpere .,1.0,False,False,the pizza is yummy and i like the atmoshpere .,pizza yummy I like atmoshpere,29,5,0.7096
but the pizza is way to expensive .,0.0,False,False,but the pizza is way to expensive .,pizza way expensive,19,3,0.0
i went there for lunch and it was not as good as i expected from the reviews i read .,0.0,False,False,i went there for lunch and it was not as good as i expected from the reviews i read .,I go lunch good I expect review I read,38,9,0.4404
sauce was watery and the food did n ' t have much flavor .,0.0,False,False,sauce was watery and the food did n ' t have much flavor .,sauce watery food n much flavor,31,6,0.0
i do n ' t think i would go again .,0.0,False,False,i do n ' t think i would go again .,I n think I would go,20,6,0.0
this place is great .,1.0,False,False,this place is great .,place great,11,2,0.6249
the waitress was very patient with us and the food is phenomenal !,1.0,False,False,the waitress was very patient with us and the food is phenomenal !,waitress patient food phenomenal !,34,5,0.0
"service was prompt , friendly and great .",1.0,False,False,"service was prompt , friendly and great .",service prompt friendly great,29,4,0.8074
slightly on the pricey side but worth it !,1.0,False,False,slightly on the pricey side but worth it !,slightly pricey side worth !,28,5,0.2331
great pizza and fantastic service .,1.0,False,False,great pizza and fantastic service .,great pizza fantastic service,29,4,0.8271
located at the end of a magnificent block .,1.0,False,False,located at the end of a magnificent block .,locate end magnificent block,28,4,0.25
very cozy and warm inside . . . . .,1.0,False,False,very cozy and warm inside . . . . .,cozy warm inside,16,3,0.2263
i will be back !,1.0,False,False,i will be back !,I back !,8,3,0.0
this is the best sushi in new york city - hands down .,1.0,False,False,this is the best sushi in new york city - hands down .,good sushi new_york city hand,29,5,0.7269
the place is small and cramped but the food is fantastic .,1.0,False,False,the place is small and cramped but the food is fantastic .,place small cramped food fantastic,34,5,0.5574
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",1.0,False,False,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",planet thailand always hit I I go usually sushi great thai great_food,73,12,0.8316
"with the great variety on the menu , i eat here often and never get bored .",1.0,False,False,"with the great variety on the menu , i eat here often and never get bored .",great variety menu I eat often never get bore,45,9,0.7041
it ' s all about the food ! !,1.0,False,False,it ' s all about the food ! !,food ! !,8,3,0.0
first it took us a long time to find the place .,0.0,False,False,first it took us a long time to find the place .,first take long time find place,31,6,0.0
"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .",0.0,False,False,"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .",look menu n lot choice dumpling appetizer section,49,8,0.1027
"those rolls were big , but not good and sashimi was n ' t fresh .",0.0,False,False,"those rolls were big , but not good and sashimi was n ' t fresh .",roll big good sashimi n fresh,29,6,0.6369
"they were dry and disgusting , i did n ' t even finish my first piece .",0.0,False,False,"they were dry and disgusting , i did n ' t even finish my first piece .",dry disgusting I n even finish first piece,42,8,-0.5267
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,1.0,False,False,hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,hurley like cheer everyone know name actually glad come,55,9,0.8316
"try the crunchy tuna , it is to die for .",1.0,False,False,"try the crunchy tuna , it is to die for .",try crunchy tuna die,20,4,-0.5994
"try everything for that matter , it is all good .",1.0,False,False,"try everything for that matter , it is all good .",try everything matter good,26,4,0.4588
i have been going there since it opened and i ca n ' t get enough .,1.0,False,False,i have been going there since it opened and i ca n ' t get enough .,I go since open I n get enough,30,8,0.0
first went here to enjoy their garden terrace .,1.0,False,False,first went here to enjoy their garden terrace .,first go enjoy garden terrace,29,5,0.4939
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",1.0,False,False,"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",food amazing service prompt helpful bear rush,45,7,0.765
"the steak tartare is a great bet , they fix it for you at the table .",1.0,False,False,"the steak tartare is a great bet , they fix it for you at the table .",steak tartare great bet fix table,33,6,0.6249
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",1.0,False,False,"great wine selection , gigondas is worth the price , and the house champagne is a great value .",great wine selection gigonda worth price house champagne great value,68,10,0.9287
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",1.0,False,False,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",may bit packed weekend vibe good good french food find area,59,11,0.7003
"have recommended the place to friends , always gets good response .",1.0,False,False,"have recommended the place to friends , always gets good response .",recommend place friend always get good response,47,7,0.8225
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",1.0,False,False,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza pizza_nyc additional topping crust taste like good freshly baked bread !,78,12,0.69
i take all my nyc guests to vt ' s .,1.0,False,False,i take all my nyc guests to vt ' s .,I take nyc guest vt,19,5,0.0
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",1.0,False,False,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",sure previous reviewer lonk dine saul great neighborhood great_food !,69,10,0.8955
i ' ve been there three times and have always had wonderful experiences .,1.0,False,False,i ' ve been there three times and have always had wonderful experiences .,I three time always wonderful experience,40,6,0.5719
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,1.0,False,False,i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,I highly_recommend special_occasion provide intimate setting nice service,73,8,0.8211
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,1.0,False,False,i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,I sure reviewer eat seem visit two different restaurant friend I enjoy mizu much repeat customer,96,16,0.8271
even after they overcharged me the last time i was there .,0.0,False,False,even after they overcharged me the last time i was there .,even overcharge I last time I,29,6,0.0
it ' s delicious !,1.0,False,False,it ' s delicious !,delicious !,11,2,0.6114
"took my mom for mother ' s day , and the maitre d ' was pretty rude .",0.0,False,False,"took my mom for mother ' s day , and the maitre d ' was pretty rude .",take mom mother day maitre pretty rude,38,7,0.0516
"told us to sit anywhere , and when we sat he said the table was reserved .",0.0,False,False,"told us to sit anywhere , and when we sat he said the table was reserved .",tell sit anywhere sit say table reserve,39,7,0.0
stepped on my foot on the second time he reached over me to adjust lighting .,0.0,False,False,stepped on my foot on the second time he reached over me to adjust lighting .,step foot second time reach I adjust lighting,45,8,0.0258
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,0.0,True,False,tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,tiny dessert plain overpriced,29,4,0.0
the drinks are always well made and wine selection is fairly priced .,1.0,False,False,the drinks are always well made and wine selection is fairly priced .,drink always well make wine selection fairly price,50,8,0.2732
try their chef ' s specials - - they are to die for .,1.0,False,False,try their chef ' s specials - - they are to die for .,try chef special die,20,4,-0.296
downstairs lounge is always a good attraction,1.0,False,False,downstairs lounge is always a good attraction,downstairs lounge always good attraction,40,5,0.7096
the exotic food is beautifully presented and is a delight in delicious combinations .,1.0,False,False,the exotic food is beautifully presented and is a delight in delicious combinations .,exotic food beautifully present delight delicious combination,61,7,0.9062
it is also extremely well priced .,1.0,False,False,it is also extremely well priced .,also extremely well price,25,4,0.3384
the staff is incredibly helpful and attentive .,1.0,False,False,the staff is incredibly helpful and attentive .,staff incredibly helpful attentive,34,4,0.4754
the bar is very well stocked with interesting beers and well priced wines .,1.0,False,False,the bar is very well stocked with interesting beers and well priced wines .,bar well stock interesting beer well price wine,47,8,0.7096
this is one of my favorite restaurants and it is not to be missed .,1.0,False,False,this is one of my favorite restaurants and it is not to be missed .,one favorite restaurant miss,28,4,0.34
your friends will thank you for introducing them to this gem !,1.0,False,False,your friends will thank you for introducing them to this gem !,friend thank introduce gem !,28,5,0.7177
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",0.0,False,False,"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",stumble leon think find quite gem certainly wrong,49,8,-0.1742
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",0.0,False,False,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",waitress move table practically bathroom ask cancel dinner order want eat sit toilet tell,89,14,-0.1779
"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",0.0,False,False,"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",top thing drop use silverware boyfriend jacket stop apologize clean mess leave clothe,85,13,-0.2732
such a disappointment . . .,0.0,False,False,such a disappointment . . .,disappointment,14,1,-0.5106
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",0.0,False,False,"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",rude service medicore food ton restaurant ny stay away one,58,10,-0.4588
i loved everythig about it - especially the shows and actors .,1.0,False,False,i loved everythig about it - especially the shows and actors .,I love everythig especially show actor,38,6,0.6369
our server was very helpful and friendly .,1.0,False,False,our server was very helpful and friendly .,server helpful friendly,23,3,0.7184
the food was good too .,1.0,False,False,the food was good too .,food good,9,2,0.4404
the tuna and wasabe potatoes are excellent .,1.0,False,False,the tuna and wasabe potatoes are excellent .,tuna wasabe potato excellent,28,4,0.5719
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,1.0,True,False,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere sit sidewalk watch world go foot away th avenue cool evening wonderful,89,14,0.7184
service was prompt and courteous .,1.0,False,False,service was prompt and courteous .,service prompt courteous,24,3,0.5106
this was a repeat visit and we ' ll definitely be back again .,1.0,False,False,this was a repeat visit and we ' ll definitely be back again .,repeat visit definitely back,28,4,0.4019
"great service , great food .",1.0,False,False,"great service , great food .",great_great_service_food,24,1,0.8481
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",1.0,False,False,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",pizza delicious use fresh mozzarella instead cheap frozen shred_cheese common pizzaria,86,11,0.7184
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",0.0,False,False,"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",two complaint appetizer selection stink would nice get mozzarella stick menu,76,11,-0.2732
"also , because it is so thin , it gets cold very quickly and its not that filling .",0.0,False,False,"also , because it is so thin , it gets cold very quickly and its not that filling .",also thin get cold quickly fill,31,6,0.0
by far the best salad i have had in a fast food restaurant .,1.0,False,False,by far the best salad i have had in a fast food restaurant .,far good salad I fast food restaurant,37,7,0.4404
over 100 different choices to create your own .,1.0,True,False,over 100 different choices to create your own .,different choice create,23,3,0.2732
a must try !,1.0,False,False,a must try !,must try !,10,3,0.0
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",1.0,False,False,"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",recent sunday afternoon friend I accidently find great restaurant way see pulitzer prize win play doubt,103,16,0.936
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",1.0,False,False,"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",perfect quiet relaxing delicious accompaniment afternoon theater,64,7,0.891
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",1.0,False,False,"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",chicken pot pie exceptional cheeseburger_huge delictable service professional wan warm,86,10,0.4939
"with so many poor experiences to be had in the theater district , is truly an excellent find !",1.0,False,False,"with so many poor experiences to be had in the theater district , is truly an excellent find !",many poor experience theater district truly excellent find !,60,9,0.5848
the staff is no nonsense .,1.0,False,False,the staff is no nonsense .,staff nonsense,14,2,-0.4019
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,1.0,False,False,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,I live upstate I would buy freeze bagel would still well else,61,12,0.3182
