text,rating_claude,rating_gpt4,rating_llama4,rating_mistral
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",-1.0,-1.0,,
"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",-1.0,-1.0,,
the last time i walked by it looked pretty empty . hmmm .,0.0,-1.0,,
i had a great experience .,1.0,1.0,1.0,1.0
food is great .,1.0,1.0,1.0,1.0
service is top notch .,1.0,1.0,1.0,1.0
i have been going back again and again .,1.0,1.0,1.0,1.0
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",1.0,1.0,1.0,1.0
the sushi seemed pretty fresh and was adequately proportioned .,1.0,1.0,,0.0
the rice to fish ration was also good - - they did n ' t try to overpack the rice .,1.0,1.0,,1.0
we took advanatage of the half price sushi deal on saturday so it was well worth it .,1.0,1.0,,0.0
surprisingly nothing could be further from the truth .,-1.0,-1.0,,-1.0
"in the evening , this place attracted a well dressed , with it , ny crowd .",0.0,1.0,,0.0
the food was well prepared and the service impecable .,1.0,1.0,1.0,
i ' m going back .,1.0,1.0,1.0,
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,1.0,1.0,1.0,
i will be going back and heartily recommend it !,1.0,1.0,1.0,
"it is terrific , as is the value .",1.0,1.0,1.0,
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",1.0,1.0,1.0,1.0
"i am not a vegetarian but , almost all the dishes were great .",1.0,1.0,1.0,1.0
go hungry and enjoy .,1.0,1.0,-1.0,-1.0
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",0.0,0.0,0.0,0.0
"the service varys from day to day - sometimes they ' re very nice , and sometimes not .",0.0,0.0,0.0,-1.0
"the kitchen however , is almost always slow .",-1.0,-1.0,,
if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,0.0,1.0,,
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,1.0,1.0,,
the lava cake dessert was incredible and i recommend it .,1.0,1.0,,
"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .",1.0,1.0,,
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",1.0,1.0,1.0,1.0
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",0.0,0.0,0.0,-1.0
"however , go for the ambience , and consider the food just a companion for a trip across the world !",1.0,1.0,1.0,0.0
the pizza was delivered cold and the cheese was n ' t even fully melted !,-1.0,-1.0,-1.0,-1.0
it looked like shredded cheese partly done - still in strips .,-1.0,-1.0,-1.0,-1.0
this has got to be one of the most overrated restaurants in brooklyn .,-1.0,-1.0,,-1.0
the pizza is overpriced and soggy .,-1.0,-1.0,,-1.0
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .",0.0,-1.0,,-1.0
"a big disappointment , all around .",-1.0,-1.0,,-1.0
i think i ' ve had some the best meals of my life at minnow .,1.0,1.0,,1.0
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",1.0,1.0,1.0,
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,1.0,1.0,1.0,
worth the trip from manhattan .,1.0,1.0,1.0,
best pastrami i ever had and great portion without being ridiculous .,1.0,1.0,1.0,
my wife had the fried shrimp which are huge and loved it .,1.0,1.0,1.0,
"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",1.0,1.0,,1.0
this place is the most japanese it can ever get .,1.0,1.0,,1.0
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",1.0,1.0,,0.0
this place is worth an one - hour drive .,1.0,1.0,,1.0
"i am so coming back here again , as much as i can .",1.0,1.0,,1.0
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",1.0,1.0,1.0,
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",1.0,1.0,1.0,
decent wine at reasonable prices .,1.0,1.0,1.0,
"our teenage kids love it , too .",1.0,1.0,1.0,
"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .",1.0,1.0,1.0,
this is by far my favorite place in the neighborhood .,1.0,1.0,1.0,1.0
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",1.0,1.0,1.0,1.0
i ' m partial to the gnocchi .,1.0,1.0,1.0,1.0
this place is incredibly tiny .,0.0,0.0,-1.0,-1.0
they refuse to seat parties of 3 or more on weekends .,-1.0,-1.0,-1.0,-1.0
the hostess is rude to the point of being offensive .,-1.0,-1.0,,
the food was bland oily .,-1.0,-1.0,,
i just do n ' t understand all the hype . . .,-1.0,-1.0,,
"we have been to this place many times , and always have great food , wine , and service .",1.0,1.0,,
"we were worried we would have trouble getting in , but somehow managed to have a short wait .",1.0,1.0,,
as always we had a great glass of wine while we waited .,1.0,1.0,1.0,1.0
"when we sat , we got great and fast service .",1.0,1.0,1.0,1.0
the people that work there are always so friendly you forget you are in new york sometimes .,1.0,1.0,1.0,1.0
this is a fun restaurant to go to .,1.0,1.0,1.0,1.0
the pizza is yummy and i like the atmoshpere .,1.0,1.0,1.0,1.0
but the pizza is way to expensive .,-1.0,-1.0,,
"a large is $ 20 , and toppings are about $ 3 each .",0.0,0.0,,
i went there for lunch and it was not as good as i expected from the reviews i read .,-1.0,-1.0,,
sauce was watery and the food did n ' t have much flavor .,-1.0,-1.0,,
i do n ' t think i would go again .,-1.0,-1.0,,
this place is great .,1.0,1.0,,
the waitress was very patient with us and the food is phenomenal !,1.0,1.0,,
"service was prompt , friendly and great .",1.0,1.0,,
slightly on the pricey side but worth it !,1.0,1.0,,
great pizza and fantastic service .,1.0,1.0,,
"there was a small wait , but shorter than i expected .",0.0,1.0,1.0,0.0
located at the end of a magnificent block .,1.0,0.0,1.0,0.0
very cozy and warm inside . . . . .,1.0,1.0,1.0,1.0
i will be back !,1.0,1.0,1.0,1.0
this is the best sushi in new york city - hands down .,1.0,1.0,1.0,1.0
the place is small and cramped but the food is fantastic .,1.0,1.0,,
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",1.0,1.0,,
"with the great variety on the menu , i eat here often and never get bored .",1.0,1.0,,
"the atmosphere is n ' t the greatest , but i suppose that ' s how they keep the prices down .",0.0,0.0,,
it ' s all about the food ! !,1.0,1.0,,
first it took us a long time to find the place .,-1.0,-1.0,-1.0,-1.0
"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .",0.0,-1.0,-1.0,-1.0
"those rolls were big , but not good and sashimi was n ' t fresh .",-1.0,-1.0,-1.0,-1.0
"they were dry and disgusting , i did n ' t even finish my first piece .",-1.0,-1.0,-1.0,-1.0
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,1.0,1.0,1.0,1.0
"try the crunchy tuna , it is to die for .",1.0,1.0,,
"try everything for that matter , it is all good .",1.0,1.0,,
i have been going there since it opened and i ca n ' t get enough .,1.0,1.0,,
first went here to enjoy their garden terrace .,1.0,1.0,,
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",1.0,1.0,,
"the steak tartare is a great bet , they fix it for you at the table .",1.0,1.0,1.0,1.0
"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",0.0,1.0,1.0,0.0
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",1.0,1.0,1.0,1.0
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",1.0,1.0,1.0,1.0
"have recommended the place to friends , always gets good response .",1.0,1.0,1.0,1.0
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",1.0,1.0,1.0,1.0
i take all my nyc guests to vt ' s .,1.0,1.0,1.0,1.0
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",1.0,1.0,1.0,1.0
i ' ve been there three times and have always had wonderful experiences .,1.0,1.0,1.0,1.0
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,1.0,1.0,1.0,1.0
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,1.0,1.0,,
even after they overcharged me the last time i was there .,-1.0,-1.0,,
it ' s delicious !,1.0,1.0,,
"moules were excellent , lobster ravioli was very salty !",0.0,0.0,,
"took my mom for mother ' s day , and the maitre d ' was pretty rude .",-1.0,-1.0,,
"told us to sit anywhere , and when we sat he said the table was reserved .",-1.0,-1.0,-1.0,-1.0
stepped on my foot on the second time he reached over me to adjust lighting .,-1.0,-1.0,-1.0,-1.0
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,-1.0,-1.0,-1.0,-1.0
the drinks are always well made and wine selection is fairly priced .,1.0,1.0,1.0,1.0
try their chef ' s specials - - they are to die for .,1.0,1.0,1.0,1.0
"service is not exactly five star , but thats not really a big deal .",0.0,0.0,,
downstairs lounge is always a good attraction,1.0,1.0,,
the exotic food is beautifully presented and is a delight in delicious combinations .,1.0,1.0,,
it is also extremely well priced .,1.0,1.0,,
the staff is incredibly helpful and attentive .,1.0,1.0,,
the bar is very well stocked with interesting beers and well priced wines .,1.0,1.0,1.0,1.0
this is one of my favorite restaurants and it is not to be missed .,1.0,1.0,1.0,1.0
your friends will thank you for introducing them to this gem !,1.0,1.0,1.0,1.0
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",-1.0,-1.0,-1.0,-1.0
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",-1.0,-1.0,-1.0,-1.0
"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",-1.0,-1.0,-1.0,
such a disappointment . . .,-1.0,-1.0,-1.0,
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",-1.0,-1.0,-1.0,
i loved everythig about it - especially the shows and actors .,1.0,1.0,1.0,
our server was very helpful and friendly .,1.0,1.0,1.0,
the food was good too .,1.0,1.0,,1.0
the tuna and wasabe potatoes are excellent .,1.0,1.0,,1.0
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,1.0,1.0,,1.0
"inside is a little cramped , but to be expected .",0.0,0.0,,0.0
service was prompt and courteous .,1.0,1.0,,1.0
this was a repeat visit and we ' ll definitely be back again .,1.0,1.0,1.0,1.0
"great service , great food .",1.0,1.0,1.0,1.0
prices are in line .,0.0,0.0,1.0,0.0
but too far east !,0.0,0.0,-1.0,-1.0
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",1.0,1.0,1.0,1.0
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",-1.0,-1.0,,
"also , because it is so thin , it gets cold very quickly and its not that filling .",-1.0,-1.0,,
wait staff is blantently unappreciative of your business but its the best pie on the uws !,0.0,0.0,,
by far the best salad i have had in a fast food restaurant .,1.0,1.0,,
over 100 different choices to create your own .,1.0,1.0,,
a must try !,1.0,1.0,1.0,1.0
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",1.0,1.0,1.0,1.0
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",1.0,1.0,1.0,1.0
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",1.0,1.0,1.0,1.0
"with so many poor experiences to be had in the theater district , is truly an excellent find !",1.0,1.0,1.0,1.0
the staff is no nonsense .,1.0,0.0,,
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,1.0,1.0,,
worth visiting the 1st ave spot because it is the original store .,1.0,1.0,,
"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !",1.0,1.0,,
the sake menu should not be overlooked !,1.0,1.0,,
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",1.0,1.0,,1.0
try the lobster teriyaki and the rose special roll .,1.0,1.0,,0.0
"service was very good - prompt , attentive and non - intrusive .",1.0,1.0,,1.0
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",1.0,1.0,,1.0
wine list selection is good and wine - by - the - glass was generously filled to the top .,1.0,1.0,,1.0
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,0.0,0.0,0.0,0.0
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",1.0,1.0,1.0,1.0
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",0.0,0.0,0.0,0.0
"seating is always prompt , though the restaurant does fill up in the evening .",1.0,1.0,1.0,0.0
"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .",0.0,1.0,0.0,0.0
"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",-1.0,-1.0,,
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",1.0,1.0,,
i have never been disappointed in the red eye .,1.0,1.0,,
"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .",1.0,1.0,,
it ' s simply the best meal in nyc .,1.0,1.0,,
you can not go wrong at the red eye grill .,1.0,1.0,1.0,1.0
"if we were to move from the upper east side , we would genuinely miss this restaurant .",1.0,1.0,1.0,1.0
the restaurant is cute but not upscale .,0.0,0.0,0.0,0.0
the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,1.0,1.0,1.0,1.0
i would highly recommend it .,1.0,1.0,1.0,1.0
it ' s one of our favorite places to eat in ny .,1.0,1.0,,
we had a great time at the jekyll and hyde pub last night .,1.0,1.0,,
after really enjoying ourselves at the bar we sat down at a table and had dinner .,1.0,1.0,,
the server was really cool and served us our food and drinks with a smile .,1.0,1.0,,
the place ' s decor and hidden bathrooms made for a good laugh .,1.0,1.0,,
i highly recommend visiting this restaurant and having dinner and drinks !,1.0,1.0,1.0,1.0
"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",1.0,1.0,1.0,1.0
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",1.0,1.0,1.0,1.0
the entertainment was great they have shows that go on through out the dinner .,1.0,1.0,1.0,1.0
you will not be disapointed at all .,1.0,1.0,1.0,1.0
we were not dissappointed in the least bit by this little gem .,1.0,1.0,,1.0
the bagel was huge .,1.0,0.0,,0.0
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,1.0,1.0,,1.0
i loved it and would highly recommend .,1.0,1.0,,1.0
this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .,1.0,1.0,,1.0
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,1.0,1.0,1.0,
"other guests enjoyed pizza , santa fe chopped salad and fish and chips .",1.0,1.0,1.0,
"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service .",1.0,1.0,1.0,
all the staff is absolutely professional ! !,1.0,1.0,1.0,
"( that is a must , but not every restaurant can do . . . )",0.0,0.0,0.0,
"there ' s nice and quiet , small but enough for 6 ( or more ) .",1.0,1.0,1.0,1.0
this restaurant was way overhyped .,-1.0,-1.0,-1.0,-1.0
my chow fun and chow see was really bland and oily .,-1.0,-1.0,-1.0,-1.0
okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,0.0,-1.0,-1.0,-1.0
the scallion pancakes and fried dumplings were nothing out of the ordinary .,0.0,0.0,0.0,0.0
the service was the only thing good about this restaurant .,-1.0,-1.0,,
"it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .",-1.0,-1.0,,
i definitely would n ' t go back .,-1.0,-1.0,,
their pad penang is delicious and everything else is fantastic .,1.0,1.0,,
the price is reasonable although the service is poor .,0.0,0.0,,
"great for a romantic evening , or a fun evening with friends . . .",1.0,1.0,1.0,1.0
i will be going back very soon .,1.0,1.0,1.0,1.0
keep up the good work .,1.0,1.0,1.0,1.0
it was wonderful .,1.0,1.0,1.0,1.0
"the salads are delicious , both refreshing and very spicy .",1.0,1.0,1.0,1.0
we had pam ' s special fried fish and it was amazing .,1.0,1.0,,
too large for just two people but nothing was left .,1.0,1.0,,
"great vibe , lots of people .",1.0,1.0,,
"my husbands was perfect , my was well done and dry .",-1.0,0.0,,
"i did n ' t complain , i liked the atmosphere so much .",1.0,1.0,,
on a hot day it was fabulous to stop in and enjoy lunch .,1.0,1.0,1.0,
"ambience is so cute and quaint , good for business although we were there on vacation .",1.0,1.0,1.0,
salads were fantastic .,1.0,1.0,1.0,
although we were looking for regular lettuce and some walnuts the salads we got were great .,1.0,1.0,1.0,
ingredients are organic which is a real plus for me .,1.0,1.0,1.0,
we will be back .,1.0,1.0,1.0,1.0
the spicy tuna roll is huge and probably the best that i ' ve had at this price range .,1.0,1.0,1.0,1.0
the yellowtail was particularly good as well .,1.0,1.0,1.0,1.0
"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",-1.0,-1.0,-1.0,-1.0
"in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town .",1.0,1.0,1.0,1.0
big wong gets big ups for a fine establishment .,1.0,1.0,,
"they have it all - - great price , food , and service .",1.0,1.0,,
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,0.0,-1.0,,
the food is prepared quickly and efficiently .,1.0,1.0,,
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",1.0,1.0,,
the takeout is great too since they give high quality tupperware as well .,1.0,1.0,1.0,1.0
enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .,1.0,1.0,1.0,1.0
we both opted for a pasta dish and they were served timely and fresh .,1.0,1.0,1.0,1.0
"we concluded with tiramisu chocolate cake , both were delicious .",1.0,1.0,1.0,1.0
we ' d go back again,1.0,1.0,1.0,1.0
i recently went to this restaurant with some co - workers for lunch and had an amazing time .,1.0,1.0,,
"the staff was accomodating , the food was absolutely delicious and the place is lovely .",1.0,1.0,,
we even had a visit from the manager who wanted to make sure we were enjoying ourselves .,1.0,1.0,,
"yes , the prices are high , but i felt it was worth it .",1.0,1.0,,
we all felt it was worth it .,1.0,1.0,,
sometimes i get good food and ok service .,0.0,0.0,0.0,0.0
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",0.0,-1.0,0.0,-1.0
it is not consistent .,-1.0,-1.0,-1.0,-1.0
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,0.0,1.0,1.0,0.0
and where does patis go wrong ; no where .,1.0,1.0,1.0,1.0
"you are not eating haut cuisine with subtle hints of whatever but : cassuolet , steake fritte , tripe stew , etc ; simple stuff .",0.0,0.0,,0.0
right off the l in brooklyn this is a nice cozy place with good pizza .,1.0,1.0,,1.0
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,1.0,1.0,,0.0
my friend got the mushroom pizza which tasted better .,1.0,1.0,,1.0
the sangria was pretty tasty and good on a hot muggy day .,1.0,1.0,,1.0
kind of a small place but i guess if they are not too busy might be able to fit a group or kids .,0.0,0.0,0.0,
overall i would recommend it and go back again .,1.0,1.0,1.0,
i started out with a bombay beer which was big enough for two .,1.0,0.0,1.0,
mmmmm . . . it was delicious .,1.0,1.0,1.0,
"service was slow , but the people were friendly .",0.0,0.0,0.0,
it ' s a nice place to relax and have conversation .,1.0,1.0,1.0,1.0
i ca n ' t wait to go back .,1.0,1.0,1.0,1.0
the food is authentic italian - delicious !,1.0,1.0,1.0,1.0
"pizza is terrific , as is homemade pasta .",1.0,1.0,1.0,1.0
"ambience is delightful , service impeccable .",1.0,1.0,1.0,1.0
service was also horrible and the ambience is not that great .,-1.0,-1.0,,
do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,-1.0,-1.0,,
i go and eat out at many different restaurants and this is one place you have go and try .,1.0,1.0,,
this is my first time writing a review for a restaurant because the food and service was excellent .,1.0,1.0,,
the filet mignon dish was superb !,1.0,1.0,,
i would defiantly come back here again as one of my top choices .,1.0,1.0,1.0,1.0
it ' s a small cute restaurant .,1.0,1.0,1.0,0.0
i absolutely love this place ! ! !,1.0,1.0,1.0,1.0
"i like the ambience , it ' s very dark and original .",1.0,1.0,1.0,1.0
the sushi is amazing ! ! !,1.0,1.0,1.0,1.0
and amazingly cheap .,1.0,1.0,,
very affordable and excellent ambient !,1.0,1.0,,
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .,-1.0,-1.0,,
we were very disappointed .,-1.0,-1.0,,
we wo n ' t go to this place again for a good meal .,-1.0,-1.0,,
"however , i think this place is a good hang out spot .",1.0,1.0,1.0,
my girlfriend and i stumbled onto this hopping place the other night and had a great time !,1.0,1.0,1.0,
"they tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it .",1.0,1.0,1.0,
check this place out !,1.0,1.0,1.0,
highly recommended ! ! ! ! !,1.0,1.0,1.0,
"first of all , this place is * not * romantic , as claimed by citysearch ' s editorial review .",-1.0,-1.0,,-1.0
"either that , or the editor ' s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th .",-1.0,-1.0,,-1.0
"the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .",-1.0,-1.0,,-1.0
slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .,0.0,0.0,,0.0
service is not what one would expect from a joint in this price category .,-1.0,-1.0,,-1.0
"for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . .",-1.0,-1.0,-1.0,
somehow working the italian charm with constant mille grazie does not constitute proper service .,-1.0,-1.0,-1.0,
"to be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of teodora .",-1.0,-1.0,0.0,
not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .,-1.0,-1.0,-1.0,
fish was overdone .,-1.0,-1.0,-1.0,
"cute place , nice wait staff but would never go there again .",0.0,-1.0,-1.0,-1.0
someone else recommended the dessert - we also left that .,-1.0,-1.0,0.0,-1.0
one of us actually liked the expresso - that ' s it .,-1.0,-1.0,-1.0,0.0
"skip this restaurant , it ' s a big disappointment .",-1.0,-1.0,-1.0,-1.0
myagi is one of my favorite restaurants in the city ; the place the negative reviews describe sound like they were somewhere else .,1.0,1.0,1.0,1.0
i ' ve never had bad service and the fish is fresh and delicious .,1.0,1.0,,
their tuna tartar appetizer is to die for .,1.0,1.0,,
"i come from a family of pizzeria owners , and i ' m almost ashamed to say that the pizza in fornino ' s blows my families receipies away .",1.0,1.0,,
the place is so cool and the service is prompt and curtious .,1.0,1.0,,
i highly recommend to anyone to give this place a try .,1.0,1.0,,
you will find yourself returning quite often .,1.0,1.0,1.0,
a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .,1.0,1.0,1.0,
no gimmicks here - - the food speaks for itself in its freshness and preparation .,1.0,1.0,1.0,
the dining room is quietly elegant with no music to shout over - - how refreshing !,1.0,1.0,1.0,
"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .",1.0,1.0,1.0,
"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",1.0,1.0,,1.0
the view is breathtaking the service is top notch . . . the ambiance is wonderful .,1.0,1.0,,1.0
the staff offers impeccable service .,1.0,1.0,,1.0
i had lobster bisque it has 2 oz . of maine lobster in it .,0.0,0.0,,0.0
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .,1.0,1.0,,0.0
it was divine melts in your mouth .,1.0,1.0,1.0,
my boyfriend had prime rib it was good .,1.0,1.0,1.0,
we did n ' t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .,1.0,1.0,1.0,
it ' s cuz it ' s so good you need to taste it ! ! !,1.0,1.0,1.0,
all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !,1.0,1.0,1.0,
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .,1.0,1.0,,1.0
if you like spicy food get the chicken vindaloo .,1.0,1.0,,1.0
it ' s very spicy but not offensive .,0.0,1.0,,0.0
we will definitely go back .,1.0,1.0,,1.0
go to volare for 1st class service and terrific food .,1.0,1.0,,1.0
the portions are large and the servers always surprise us with a different starter .,1.0,1.0,,
the wine list is excellent .,1.0,1.0,,
