text,target,has_number,has_rating_number,final_text,bert_text
"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .",0.0,False,False,I know busy show vintage tee shirt look bored agenda I eat enjoy company friend seek pleasant experience,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience ."
"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",0.0,False,False,well I n find trust I tell everyone I think experience,"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience ."
i had a great experience .,1.0,False,False,I great experience,i had a great experience .
food is great .,1.0,False,False,food great,food is great .
service is top notch .,1.0,False,False,service top notch,service is top notch .
i have been going back again and again .,1.0,False,False,I go back,i have been going back again and again .
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",1.0,False,False,melt little mouth perfect consistency fishy creamy slightly buttery,"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery ."
the sushi seemed pretty fresh and was adequately proportioned .,1.0,False,False,sushi seem pretty fresh adequately proportion,the sushi seemed pretty fresh and was adequately proportioned .
the rice to fish ration was also good - - they did n ' t try to overpack the rice .,1.0,False,False,rice fish ration also good n try overpack rice,the rice to fish ration was also good - - they did n ' t try to overpack the rice .
we took advanatage of the half price sushi deal on saturday so it was well worth it .,1.0,False,False,take advanatage half price sushi deal saturday well worth,we took advanatage of the half price sushi deal on saturday so it was well worth it .
surprisingly nothing could be further from the truth .,0.0,False,False,surprisingly nothing could far truth,surprisingly nothing could be further from the truth .
the food was well prepared and the service impecable .,1.0,False,False,food well prepared service impecable,the food was well prepared and the service impecable .
i ' m going back .,1.0,False,False,I go back,i ' m going back .
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,1.0,False,False,quite simply like step manhattan tranquility,quite simply it ' s like stepping out of manhattan and into a haven of tranquility .
i will be going back and heartily recommend it !,1.0,False,False,I go back heartily recommend !,i will be going back and heartily recommend it !
"it is terrific , as is the value .",1.0,False,False,terrific value,"it is terrific , as is the value ."
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",1.0,True,False,much tasty food fresh continually refill,"$ 6 and there is much tasty food , all of it fresh and continually refilled ."
"i am not a vegetarian but , almost all the dishes were great .",1.0,False,False,I vegetarian almost dish great,"i am not a vegetarian but , almost all the dishes were great ."
go hungry and enjoy .,1.0,False,False,go hungry enjoy,go hungry and enjoy .
"the kitchen however , is almost always slow .",0.0,False,False,kitchen however almost always slow,"the kitchen however , is almost always slow ."
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,1.0,False,False,add great service great food reasonable price beginning great evening,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .
the lava cake dessert was incredible and i recommend it .,1.0,False,False,lava cake dessert incredible I recommend,the lava cake dessert was incredible and i recommend it .
"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .",1.0,False,False,step cosette miraculously small beat path parisian bistro,"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro ."
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",1.0,False,False,tiny restaurant cozy get certain parisian flair,"this tiny restaurant is as cozy as it gets , with that certain parisian flair ."
"however , go for the ambience , and consider the food just a companion for a trip across the world !",1.0,False,False,however go ambience consider food companion trip across world !,"however , go for the ambience , and consider the food just a companion for a trip across the world !"
the pizza was delivered cold and the cheese was n ' t even fully melted !,0.0,False,False,pizza deliver cold cheese n even fully melt !,the pizza was delivered cold and the cheese was n ' t even fully melted !
it looked like shredded cheese partly done - still in strips .,0.0,False,False,look like shred cheese partly still strip,it looked like shredded cheese partly done - still in strips .
this has got to be one of the most overrated restaurants in brooklyn .,0.0,False,False,get one overrated restaurant brooklyn,this has got to be one of the most overrated restaurants in brooklyn .
the pizza is overpriced and soggy .,0.0,False,False,pizza overprice soggy,the pizza is overpriced and soggy .
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .",0.0,False,False,yes use fancy ingredient even fancy ingredient n make good pizza unless someone know get crust right,"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right ."
"a big disappointment , all around .",0.0,False,False,big disappointment around,"a big disappointment , all around ."
i think i ' ve had some the best meals of my life at minnow .,1.0,False,False,I think I good meal life minnow,i think i ' ve had some the best meals of my life at minnow .
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",1.0,False,False,seafood amazing good wine list ever change menu always offer great surprise,"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises ."
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,1.0,False,False,combination super fresh ingredient dish unusual really delicious,the combination of super - fresh ingredients in the dishes are unusual but really delicious .
worth the trip from manhattan .,1.0,False,False,worth trip manhattan,worth the trip from manhattan .
best pastrami i ever had and great portion without being ridiculous .,1.0,False,False,good pastrami I ever great portion without ridiculous,best pastrami i ever had and great portion without being ridiculous .
my wife had the fried shrimp which are huge and loved it .,1.0,False,False,wife fried shrimp huge love,my wife had the fried shrimp which are huge and loved it .
"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",1.0,True,False,japanese native I live tristate area year I amazed place,"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place ."
this place is the most japanese it can ever get .,1.0,False,False,place japanese ever get,this place is the most japanese it can ever get .
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",1.0,False,False,sign special menu food even waitstaff totally japanese,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese ."
this place is worth an one - hour drive .,1.0,False,False,place worth one hour drive,this place is worth an one - hour drive .
"i am so coming back here again , as much as i can .",1.0,False,False,I come back much I,"i am so coming back here again , as much as i can ."
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",1.0,False,False,leon east village gem casual hip well prepared basic french bistro fare good special warm lively atmosphere,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere ."
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",1.0,False,False,wife I always enjoy young always well train nevertheless friendly staff story,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story ."
decent wine at reasonable prices .,1.0,False,False,decent wine reasonable price,decent wine at reasonable prices .
"our teenage kids love it , too .",1.0,False,False,teenage kid love,"our teenage kids love it , too ."
"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .",1.0,False,False,everytime I decide try another place ue I get angry I n go zucchero pomodori,"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori ."
this is by far my favorite place in the neighborhood .,1.0,False,False,far favorite place neighborhood,this is by far my favorite place in the neighborhood .
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",1.0,False,False,service excellent decor great food delicious come large portion,"the service is excellent , the decor is great , and the food is delicious and comes in large portions ."
i ' m partial to the gnocchi .,1.0,False,False,I partial gnocchi,i ' m partial to the gnocchi .
they refuse to seat parties of 3 or more on weekends .,0.0,True,False,refuse seat party weekend,they refuse to seat parties of 3 or more on weekends .
the hostess is rude to the point of being offensive .,0.0,False,False,hostess rude point offensive,the hostess is rude to the point of being offensive .
the food was bland oily .,0.0,False,False,food bland oily,the food was bland oily .
i just do n ' t understand all the hype . . .,0.0,False,False,I n understand hype,i just do n ' t understand all the hype . . .
"we have been to this place many times , and always have great food , wine , and service .",1.0,False,False,place many time always great food wine service,"we have been to this place many times , and always have great food , wine , and service ."
"we were worried we would have trouble getting in , but somehow managed to have a short wait .",1.0,False,False,worried would trouble get somehow manage short wait,"we were worried we would have trouble getting in , but somehow managed to have a short wait ."
as always we had a great glass of wine while we waited .,1.0,False,False,always great glass wine wait,as always we had a great glass of wine while we waited .
"when we sat , we got great and fast service .",1.0,False,False,sit get great fast service,"when we sat , we got great and fast service ."
the people that work there are always so friendly you forget you are in new york sometimes .,1.0,False,False,people work always friendly forget new york sometimes,the people that work there are always so friendly you forget you are in new york sometimes .
this is a fun restaurant to go to .,1.0,False,False,fun restaurant go,this is a fun restaurant to go to .
the pizza is yummy and i like the atmoshpere .,1.0,False,False,pizza yummy I like atmoshpere,the pizza is yummy and i like the atmoshpere .
but the pizza is way to expensive .,0.0,False,False,pizza way expensive,but the pizza is way to expensive .
i went there for lunch and it was not as good as i expected from the reviews i read .,0.0,False,False,I go lunch good I expect review I read,i went there for lunch and it was not as good as i expected from the reviews i read .
sauce was watery and the food did n ' t have much flavor .,0.0,False,False,sauce watery food n much flavor,sauce was watery and the food did n ' t have much flavor .
i do n ' t think i would go again .,0.0,False,False,I n think I would go,i do n ' t think i would go again .
this place is great .,1.0,False,False,place great,this place is great .
the waitress was very patient with us and the food is phenomenal !,1.0,False,False,waitress patient food phenomenal !,the waitress was very patient with us and the food is phenomenal !
"service was prompt , friendly and great .",1.0,False,False,service prompt friendly great,"service was prompt , friendly and great ."
slightly on the pricey side but worth it !,1.0,False,False,slightly pricey side worth !,slightly on the pricey side but worth it !
great pizza and fantastic service .,1.0,False,False,great pizza fantastic service,great pizza and fantastic service .
located at the end of a magnificent block .,1.0,False,False,locate end magnificent block,located at the end of a magnificent block .
very cozy and warm inside . . . . .,1.0,False,False,cozy warm inside,very cozy and warm inside . . . . .
i will be back !,1.0,False,False,I back !,i will be back !
this is the best sushi in new york city - hands down .,1.0,False,False,good sushi new york city hand,this is the best sushi in new york city - hands down .
the place is small and cramped but the food is fantastic .,1.0,False,False,place small cramped food fantastic,the place is small and cramped but the food is fantastic .
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",1.0,False,False,planet thailand always hit I I go usually sushi great thai food excellent,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too ."
"with the great variety on the menu , i eat here often and never get bored .",1.0,False,False,great variety menu I eat often never get bore,"with the great variety on the menu , i eat here often and never get bored ."
it ' s all about the food ! !,1.0,False,False,food ! !,it ' s all about the food ! !
first it took us a long time to find the place .,0.0,False,False,first take long time find place,first it took us a long time to find the place .
"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .",0.0,False,False,look menu n lot choice dumpling appetizer section,"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section ."
"those rolls were big , but not good and sashimi was n ' t fresh .",0.0,False,False,roll big good sashimi n fresh,"those rolls were big , but not good and sashimi was n ' t fresh ."
"they were dry and disgusting , i did n ' t even finish my first piece .",0.0,False,False,dry disgusting I n even finish first piece,"they were dry and disgusting , i did n ' t even finish my first piece ."
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,1.0,False,False,hurley like cheer everyone know name actually glad come,hurley ' s is like cheers where everyone knows your name and they are actually glad you came .
"try the crunchy tuna , it is to die for .",1.0,False,False,try crunchy tuna die,"try the crunchy tuna , it is to die for ."
"try everything for that matter , it is all good .",1.0,False,False,try everything matter good,"try everything for that matter , it is all good ."
i have been going there since it opened and i ca n ' t get enough .,1.0,False,False,I go since open I n get enough,i have been going there since it opened and i ca n ' t get enough .
first went here to enjoy their garden terrace .,1.0,False,False,first go enjoy garden terrace,first went here to enjoy their garden terrace .
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",1.0,False,False,food amazing service prompt helpful bear rush,"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed ."
"the steak tartare is a great bet , they fix it for you at the table .",1.0,False,False,steak tartare great bet fix table,"the steak tartare is a great bet , they fix it for you at the table ."
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",1.0,False,False,great wine selection gigonda worth price house champagne great value,"great wine selection , gigondas is worth the price , and the house champagne is a great value ."
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",1.0,False,False,may bit packed weekend vibe good good french food find area,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area ."
"have recommended the place to friends , always gets good response .",1.0,False,False,recommend place friend always get good response,"have recommended the place to friends , always gets good response ."
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",1.0,False,False,pizza pizza nyc additional topping crust taste like good freshly baked bread !,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !"
i take all my nyc guests to vt ' s .,1.0,False,False,I take nyc guest vt,i take all my nyc guests to vt ' s .
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",1.0,False,False,sure previous reviewer lonk dine saul great neighborhood great food !,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !"
i ' ve been there three times and have always had wonderful experiences .,1.0,False,False,I three time always wonderful experience,i ' ve been there three times and have always had wonderful experiences .
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,1.0,False,False,I highly recommend special occasion provide intimate setting nice service,i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,1.0,False,False,I sure reviewer eat seem visit two different restaurant friend I enjoy mizu much repeat customer,i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .
even after they overcharged me the last time i was there .,0.0,False,False,even overcharge I last time I,even after they overcharged me the last time i was there .
it ' s delicious !,1.0,False,False,delicious !,it ' s delicious !
"took my mom for mother ' s day , and the maitre d ' was pretty rude .",0.0,False,False,take mom mother day maitre pretty rude,"took my mom for mother ' s day , and the maitre d ' was pretty rude ."
"told us to sit anywhere , and when we sat he said the table was reserved .",0.0,False,False,tell sit anywhere sit say table reserve,"told us to sit anywhere , and when we sat he said the table was reserved ."
stepped on my foot on the second time he reached over me to adjust lighting .,0.0,False,False,step foot second time reach I adjust lighting,stepped on my foot on the second time he reached over me to adjust lighting .
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,0.0,True,False,tiny dessert plain overpriced,tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .
the drinks are always well made and wine selection is fairly priced .,1.0,False,False,drink always well make wine selection fairly price,the drinks are always well made and wine selection is fairly priced .
try their chef ' s specials - - they are to die for .,1.0,False,False,try chef special die,try their chef ' s specials - - they are to die for .
downstairs lounge is always a good attraction,1.0,False,False,downstairs lounge always good attraction,downstairs lounge is always a good attraction
the exotic food is beautifully presented and is a delight in delicious combinations .,1.0,False,False,exotic food beautifully present delight delicious combination,the exotic food is beautifully presented and is a delight in delicious combinations .
it is also extremely well priced .,1.0,False,False,also extremely well price,it is also extremely well priced .
the staff is incredibly helpful and attentive .,1.0,False,False,staff incredibly helpful attentive,the staff is incredibly helpful and attentive .
the bar is very well stocked with interesting beers and well priced wines .,1.0,False,False,bar well stock interesting beer well price wine,the bar is very well stocked with interesting beers and well priced wines .
this is one of my favorite restaurants and it is not to be missed .,1.0,False,False,one favorite restaurant miss,this is one of my favorite restaurants and it is not to be missed .
your friends will thank you for introducing them to this gem !,1.0,False,False,friend thank introduce gem !,your friends will thank you for introducing them to this gem !
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",0.0,False,False,stumble leon think find quite gem certainly wrong,"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong ."
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",0.0,False,False,waitress move table practically bathroom ask cancel dinner order want eat sit toilet tell,"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . ."
"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",0.0,False,False,top thing drop use silverware boyfriend jacket stop apologize clean mess leave clothe,"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes ."
such a disappointment . . .,0.0,False,False,disappointment,such a disappointment . . .
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",0.0,False,False,rude service medicore food ton restaurant ny stay away one,"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one"
i loved everythig about it - especially the shows and actors .,1.0,False,False,I love everythig especially show actor,i loved everythig about it - especially the shows and actors .
our server was very helpful and friendly .,1.0,False,False,server helpful friendly,our server was very helpful and friendly .
the food was good too .,1.0,False,False,food good,the food was good too .
the tuna and wasabe potatoes are excellent .,1.0,False,False,tuna wasabe potato excellent,the tuna and wasabe potatoes are excellent .
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,1.0,True,False,outdoor atmosphere sit sidewalk watch world go foot away th avenue cool evening wonderful,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .
service was prompt and courteous .,1.0,False,False,service prompt courteous,service was prompt and courteous .
this was a repeat visit and we ' ll definitely be back again .,1.0,False,False,repeat visit definitely back,this was a repeat visit and we ' ll definitely be back again .
"great service , great food .",1.0,False,False,great service great food,"great service , great food ."
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",1.0,False,False,pizza delicious use fresh mozzarella instead cheap frozen shred cheese common pizzaria,"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s ."
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",0.0,False,False,two complaint appetizer selection stink would nice get mozzarella stick menu,"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu ."
"also , because it is so thin , it gets cold very quickly and its not that filling .",0.0,False,False,also thin get cold quickly fill,"also , because it is so thin , it gets cold very quickly and its not that filling ."
by far the best salad i have had in a fast food restaurant .,1.0,False,False,far good salad I fast food restaurant,by far the best salad i have had in a fast food restaurant .
over 100 different choices to create your own .,1.0,True,False,different choice create,over 100 different choices to create your own .
a must try !,1.0,False,False,must try !,a must try !
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",1.0,False,False,recent sunday afternoon friend I accidently find great restaurant way see pulitzer prize win play doubt,"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt ."
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",1.0,False,False,perfect quiet relaxing delicious accompaniment afternoon theater,"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater ."
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",1.0,False,False,chicken pot pie exceptional cheeseburger huge delictable service professional wan warm,"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm ."
"with so many poor experiences to be had in the theater district , is truly an excellent find !",1.0,False,False,many poor experience theater district truly excellent find !,"with so many poor experiences to be had in the theater district , is truly an excellent find !"
the staff is no nonsense .,1.0,False,False,staff nonsense,the staff is no nonsense .
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,1.0,False,False,I live upstate I would buy freeze bagel would still well else,when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .
worth visiting the 1st ave spot because it is the original store .,1.0,True,False,worth visit st ave spot original store,worth visiting the 1st ave spot because it is the original store .
"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !",1.0,False,False,serve I uni hand roll I never let I tell heaven !,"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !"
the sake menu should not be overlooked !,1.0,False,False,sake menu overlook !,the sake menu should not be overlooked !
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",1.0,False,False,midtown gem instantly become one favorite sushi restaurant city,"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city ."
try the lobster teriyaki and the rose special roll .,1.0,False,False,try lobster teriyaki rise special roll,try the lobster teriyaki and the rose special roll .
"service was very good - prompt , attentive and non - intrusive .",1.0,False,False,service good prompt attentive non intrusive,"service was very good - prompt , attentive and non - intrusive ."
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",1.0,False,False,food good well consider try budget selection though I wish pork belly I order roast bit long fat melt mouth experience,"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) ."
wine list selection is good and wine - by - the - glass was generously filled to the top .,1.0,False,False,wine list selection good wine glass generously fill top,wine list selection is good and wine - by - the - glass was generously filled to the top .
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",1.0,True,False,I cafe spice probably time probably still good indian restaurant around union square,"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square ."
"seating is always prompt , though the restaurant does fill up in the evening .",1.0,False,False,seating always prompt though restaurant fill evening,"seating is always prompt , though the restaurant does fill up in the evening ."
"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",0.0,False,False,many reviewer notice order often slow arrive particularly true evening problem lunch time,"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time ."
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",1.0,False,False,decor vibrant eye pleasing several semi private right side dining hall great date,"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date ."
i have never been disappointed in the red eye .,1.0,False,False,I never disappoint red eye,i have never been disappointed in the red eye .
"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .",1.0,False,False,first time I go completely take live jazz band atmosphere I order lobster cobb salad,"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad ."
it ' s simply the best meal in nyc .,1.0,False,False,simply good meal nyc,it ' s simply the best meal in nyc .
you can not go wrong at the red eye grill .,1.0,False,False,go wrong red eye grill,you can not go wrong at the red eye grill .
"if we were to move from the upper east side , we would genuinely miss this restaurant .",1.0,False,False,move upper east side would genuinely miss restaurant,"if we were to move from the upper east side , we would genuinely miss this restaurant ."
