text,prediction
"As much as I like the food there , I ca n't bring myself to go back .",0.0
"The staff are attentive , and have smiles on their faces .",1.0
"From the entrees to the sides to the drinks , everything was creatively prepared yet still simple .",1.0
"Emilio , the owner , is often sitting in the front table greeting guests as they come and go .",1.0
After dealing with subpar pizza all over the Kensington neighborhood - I 've found little toninos .,1.0
The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group .,0.0
"While the food was excellent , it was n't cheap ( though not extremely expensive either ) .",0.0
We were told that they were booked solid and no other table was available .,0.0
"It was nice and fresh , but I ca n't give it high scores on being authentic thai .",1.0
The place is so cool and the service is prompt and curtious .,1.0
Why do people rave about the ambience .,1.0
"I went at 6:00 PM specifically for the pre-theater menu ( $ 19.95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous .",1.0
"The waiters are sweet , the food is tasty and the bill is never too large .",1.0
The food is usually good but it certainly is n't a relaxing place to go .,0.0
I 'm still mad that i had to pay for lousy food .,0.0
Ambiance - relaxed and stylish .,1.0
Your money could easily be better spent elsewhere ( Anywhere ) .,1.0
It wo n't break the bank but I also wouldnt come back for the food .,0.0
"Because of the delicate thin crust , take-out pies get soggy in their boxes .",0.0
"Over price , and small portions .",0.0
"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",0.0
"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",0.0
I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS .,1.0
The pizza was pretty good and huge .,1.0
Be careful of portions - they 're HUGE .,1.0
The hot and sour soup was unbearably hot and tasted of only pepper and nothing else .,0.0
"The food is expensive , but worth every bite .",1.0
There is also very limited seating and there can be a substantial wait in getting food at peak times .,1.0
"Perhaps this food is considered extreme to an Upper East Side resident , but for the rest of us who 've actually eaten ethnic food , this is simply dull .",0.0
All of my co-workers stated that the food was amazing and wondered why they had n't heard about this place .,1.0
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .",1.0
"Oh yes , and they lie on the phone , claiming they have seating in the garden , then of course the seats are not available .",0.0
I have to say I have never had a disapointing meal here .,1.0
"those rolls were big , but not good and sashimi was n't fresh .",0.0
Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,1.0
"Service was excellent , and the AC worked very well too ( thank God , it was hot ! ) .",1.0
I love to visit Murrays for my bagel fix .,1.0
"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",1.0
The decor is very simple but comfortable .,1.0
"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",1.0
The owners and employees are friendly and their pizza is fantastic .,1.0
"For some reason , all the seafood on the menu was unavailable except for the Salmon .",0.0
The dim sum is delectable while the prices are quite easy on the wallet .,1.0
Best Reuben sandwich ever !,1.0
"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",0.0
Great bagels made the old-fashioned way .,1.0
The design and atmosphere is just as good .,1.0
"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",1.0
"It can not be the ambience , because the place is very cramped and some guests have to sit in an aisle .",0.0
Not impressed with the food .,0.0
"When I saw that their website had a link to da Ciro in Napoli , I knew there was going to be good pizza !",1.0
The food was very expensive ( we spent $ 160 for lunch for two ) but extremely tasty .,0.0
But the pizza is way to expensive .,0.0
The plain pizza was soggy and the creative wild mushroom ( third generation-Fornini ) pizza we had was drenched with truffle oil in the middle ( again making it soggy ) and nothingon the rest .,0.0
"Service was very good - prompt , attentive and non-intrusive .",1.0
Unique apppetizers .,1.0
Decor is nice though service can be spotty .,1.0
"As far as the service goes , the waitresses were not particularly friendly , but they got the job done .",0.0
"Staffs are not that friendly , but the taste covers all .",0.0
"The view is spectacular , and the food is great .",1.0
The price very reasonable .,1.0
"While the ambiance and atmosphere were great , the food and service could have been a lot better .",1.0
"Bottom line : B+ for the food , F for the service .",1.0
You get the sense that the people there care about their restaurant and about your experience and that is very nice .,1.0
The tastes makes your mouth water for more .,1.0
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,1.0
We could have made a meal of the yummy dumplings from the dumpling menu .,1.0
"I almost wanted to write a bad review , so no one would ever go here and I could have all the dumplings to myself !",0.0
We did have to wait at the bar for approx .,0.0
"Try the crunchy tuna , it is to die for .",1.0
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",0.0
They treated us well and the food was extremely fresh and well-prepared .,1.0
I can not imagine a friendlier staff working in a restaurant .,0.0
"Though you will undoubtedly be seated at a table with what seems like barely enough room ( no matter what the size of your party ) , the warm atomosphere is worth the cramped quarters- you 'll have fun and forgot about the tight spot you 're in .",1.0
"I would n't even have complained at all if the food at least tasted good but the quality of food was crappy , too .",0.0
"By far , the best pizza in Manhattan .",1.0
"The service , however , was a bright flower in a garden .",1.0
"believe us , we 've been eating sushi for over 15 yrs .",1.0
"The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",1.0
"If it is n't for the food ( A+++ ) , it must be the service or the ambience .",1.0
All of the pizzas are terrific and the price is even better !,1.0
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices , great atmosphere , good service and a wonderful wine list .",1.0
The food was bland oily .,0.0
LOVE the atmosphere - felt like I was in Paris .,1.0
Service was slow had to wait to order and get food although not crowded .,0.0
The fries are yummy .,1.0
Great food at reasonable prices .,1.0
The prices are wonderfully low .,1.0
The hostess and the waitress were incredibly rude and did everything they could to rush us out .,0.0
"Really though , where 's the seasoning ?",1.0
The website and rating makes this place look wonderful but in reality it was very disappointing .,0.0
Ive been here so many times the waiters know my name .,1.0
The sushi seemed pretty fresh and was adequately proportioned .,1.0
"Other than being a little crowded and a bit overpriced , the atmosphere is filled with energy ( and the beautiful people of course ) and the food was surprising good !",1.0
"The food is mostly made from scratch , fresh and well prepared .",1.0
"I like the ambience , it 's very dark and original .",1.0
"One would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so .",0.0
"Also , specify if you like your food spicy- its rather bland if you do n't .",0.0
"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",1.0
After passing by this restaurant for sometime I finally decided to go in and have dinner .,1.0
The service is fine and they allow you to enjoy the view .,1.0
I do suggest to ask to be seated upstairs if you are looking to be a little cozy .,1.0
"We started with lox and mussels ( the best ive ever had , ever ) and had the cod and trout for dinner .",1.0
The food here does a great service to the name ( Cantonese that is ... ) .,1.0
"Although the tables may be closely situated , the candle-light , food-quality and service overcompensate .",1.0
The staff is also attentive and friendly .,1.0
And they have these home made potato chips at the bar that are the most delicious things in the world !,1.0
